repo,type,pmcid,paper,include,notes
knowledge-ukraine/OntoChatGPT,code,PMC11249847,Innovative Hybrid Cloud Solutions for Physical Medicine and Telerehabilitation R,no,tool-cite or off-topic (auto-triaged)
knowledge-ukraine/medlocalgpt,code,PMC11249847,Innovative Hybrid Cloud Solutions for Physical Medicine and Telerehabilitation R,no,tool-cite or off-topic (auto-triaged)
korem-lab/ESCC_microbiome_16S_analysis,code,PMC13066412,A generalizable cross-continent prediction of esophageal squamous cell carcinoma,no,tool-cite or off-topic (auto-triaged)
labelmeai/labelme,code,PMC13152714,Automated Measurement of Occipito-Axial Angle on Cervical Radiographs Using a De,no,tool-cite or off-topic (auto-triaged)
lh3/bwa,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
liebelab/semiollm,code,PMC13197429,Evaluating large language models for diagnostic reasoning from unstructured clin,no,tool-cite or off-topic (auto-triaged)
lin521045/roi-guided-cyclegan-larynx,code,PMC13233563,ROI-guided virtual narrow band imaging for laryngeal cancer screening.,no,tool-cite or off-topic (auto-triaged)
lycosystem/lydata,code,PMC12747233,A multi-institutional dataset on patient-individual lymph node involvement in hy,no,tool-cite or off-topic (auto-triaged)
malakhovks/docsim,code,PMC11249847,Innovative Hybrid Cloud Solutions for Physical Medicine and Telerehabilitation R,no,tool-cite or off-topic (auto-triaged)
malakhovks/ken,code,PMC11249847,Innovative Hybrid Cloud Solutions for Physical Medicine and Telerehabilitation R,no,tool-cite or off-topic (auto-triaged)
masatio/senssmarttech,code,PMC12368122,"Synchronous post-exercise electrocardiogram, phonocardiogram, photoplethysmogram",no,tool-cite or off-topic (auto-triaged)
mikel-brostrom/boxmot,code,PMC11536003,Development and validation of machine-learning models for monitoring individual ,no,tool-cite or off-topic (auto-triaged)
mims-harvard/decagon,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
mosala777/Predicting-Dementia-in-PwPD,code,PMC12075756,Predicting dementia in people with Parkinson's disease.,no,tool-cite or off-topic (auto-triaged)
mrhasanshahi/octa,code,PMC12923507,An ensemble machine learning classifier for Parkinson's disease diagnosis using ,no,tool-cite or off-topic (auto-triaged)
naxingyu/opensmile,code,PMC11139298,Identifying bias in models that detect vocal fold paralysis from audio recording,no,tool-cite or off-topic (auto-triaged)
neuracle/neuracle-api,code,PMC13223301,PhysioMotion Artifact: A task-driven EEG dataset with point-wise motion artifact,no,tool-cite or off-topic (auto-triaged)
omdnam/FD-formula-recommend-protocol,code,PMC12934510,Machine learning-based prediction of herbal medicine response in functional dysp,no,tool-cite or off-topic (auto-triaged)
oncoray/cnn-hnscc,code,PMC13045703,Prognostic modeling in head and neck cancer: deep learning or handcrafted radiom,no,tool-cite or off-topic (auto-triaged)
oncoray/mirp,code,PMC13045703,Prognostic modeling in head and neck cancer: deep learning or handcrafted radiom,no,tool-cite or off-topic (auto-triaged)
pHidayatullah/yolov7,code,PMC13152714,Automated Measurement of Occipito-Axial Angle on Cervical Radiographs Using a De,no,tool-cite or off-topic (auto-triaged)
phanein/deepwalk,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
py-why/EconML,code,PMC12366079,Effect of discontinuing antipsychotic medications on the risk of hospitalization,no,tool-cite or off-topic (auto-triaged)
rachellea/LLMPatientSafety,code,PMC13013898,Large language models provide unsafe answers to patient-posed medical questions.,no,tool-cite or off-topic (auto-triaged)
radsimbio/MINT_OM,code,PMC12770879,Machine learning-based prediction of severe oral mucositis from head and neck ca,no,tool-cite or off-topic (auto-triaged)
refatkhan93/lung_cancer_xai,code,PMC11175504,The efficacy of machine learning models in lung cancer risk prediction with expl,no,tool-cite or off-topic (auto-triaged)
rezacsedu/Drug-Drug-Interaction-Prediction,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
ricartojason/EDRMM,code,PMC12243427,EDRMM: enhancing drug recommendation via multi-granularity and multi-attribute r,no,tool-cite or off-topic (auto-triaged)
rmnldwg/lydata,code,PMC12104324,A probabilistic model of bilateral lymphatic spread in head and neck cancer.,no,tool-cite or off-topic (auto-triaged)
rordenlab/dcm2niix,code,PMC12559740,CoSpine open access simultaneous cortico-spinal fMRI database of thermal pain an,no,tool-cite or off-topic (auto-triaged)
ruaeh/Dysphagia-ML,code,PMC9537337,Post-stroke respiratory complications using machine learning with voice features,yes,IN-SCOPE post-stroke dysphagia; merged; EMPTY repo (linked-but-empty)
ruanxiaoyang-UT/ileus-figures-source-data,code,PMC12322181,Gated recurrent unit with decay has real-time capability for postoperative ileus,no,tool-cite or off-topic (auto-triaged)
saadism777/Dental-Loop-SnP-Speech-and-Phonetic-Pattern-Recognition,code,PMC11252296,"Predictive modelling of freeway space utilising clinical history, normalised mus",no,tool-cite or off-topic (auto-triaged)
seista131/ThyGPT,code,PMC12049458,Multimodal GPT model for assisting thyroid nodule diagnosis and management.,no,tool-cite or off-topic (auto-triaged)
shenweichen/GraphEmbedding,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
shunxneuro/OC2_object-detection,code,PMC13152714,Automated Measurement of Occipito-Axial Angle on Cervical Radiographs Using a De,no,tool-cite or off-topic (auto-triaged)
siyingjun007/FGHA-EEG-Dataset-Code,code,PMC11655562,A finer-grained high altitude EEG dataset for hypoxia levels assessment.,no,tool-cite or off-topic (auto-triaged)
snakers4/silero-vad,code,PMC11041410,Investigation of Deepfake Voice Detection Using Speech Pause Patterns: Algorithm,no,tool-cite or off-topic (auto-triaged)
stefan-ehrlich/dataset-automaticArtifactRemoval,code,PMC13223301,PhysioMotion Artifact: A task-driven EEG dataset with point-wise motion artifact,no,tool-cite or off-topic (auto-triaged)
suruthi-m/Hybrid_PSO_EAVOA,code,PMC12647109,A hybrid PSO-AVOA framework for patient-reported drug prioritization with enhanc,no,tool-cite or off-topic (auto-triaged)
tangjianpku/LINE,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
thecml/FunctionalALS,code,PMC12626301,A meaningful prediction of functional decline in amyotrophic lateral sclerosis b,no,tool-cite or off-topic (auto-triaged)
tidyverse/ggplot2,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
uniluxembourg/lcsb,code,PMC12297691,Multi-cohort machine learning identifies predictors of cognitive impairment in P,no,tool-cite or off-topic (auto-triaged)
usadellab/Trimmomatic,code,PMC11384130,Leveraging cfDNA fragmentomic features in a stacked ensemble model for early det,no,tool-cite or off-topic (auto-triaged)
wangmou21/abcs,code,PMC13280397,Throat and acoustic paired speech dataset for deep learning-based speech enhance,no,tool-cite or off-topic (auto-triaged)
xzenglab/KGNN,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
yhsong06/taps_hardware,code,PMC13280397,Throat and acoustic paired speech dataset for deep learning-based speech enhance,no,tool-cite or off-topic (auto-triaged)
yonghunsong/Throat-related-events-classification,code,PMC11706958,Multimodal deep ensemble classification system with wearable vibration sensor fo,yes,IN-SCOPE dysphagia monitoring; merged; not_attemptable
yskim3271/taps-baselines,code,PMC13280397,Throat and acoustic paired speech dataset for deep learning-based speech enhance,no,tool-cite or off-topic (auto-triaged)
yueyu1030/SumGNN,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
